Position (m),Velocity (m/s),Acceleration (m/s²),Time (s)
0.1906,0.0052,-0.017,427
0.1909,0.0035,-0.0346,427.05
0.1909,0.0017,-0.017,427.1
0.1911,0.0018,-0.0342,427.15
0.1911,-0.0017,-0.0518,427.2
0.1909,-0.0034,-0.0344,427.25
0.1908,-0.0051,-0.0348,427.3
0.1904,-0.0069,-1.91E-04,427.35
0.1901,-0.0052,0.0174,427.4
0.1899,-0.0052,-1.89E-04,427.45
0.1895,-0.0052,0.0172,427.5
0.1894,-0.0034,0.0172,427.55
0.1892,-0.0035,0.0168,427.6
0.189,-0.0018,0.0516,427.65
0.189,0.0017,0.052,427.7
0.1892,0.0034,0.0172,427.75
0.1894,0.0034,0.017,427.8
0.1895,0.0051,0.0346,427.85
0.1899,0.0069,0.0174,427.9
0.1902,0.0069,3.63E-14,427.95
0.1906,0.0069,1.91E-04,428
0.1909,0.0069,-0.0168,428.05
0.1913,0.0052,-0.0516,428.1
0.1914,0.0017,-0.0518,428.15
0.1914,1.91E-05,-0.0342,428.2
0.1914,-0.0017,-0.0516,428.25
0.1913,-0.0051,-0.052,428.3
0.1909,-0.0069,-0.0174,428.35
0.1906,-0.0069,1.90E-04,428.4
0.1902,-0.0069,-0.0172,428.45
0.1899,-0.0086,-0.0178,428.5
0.1894,-0.0086,0.0344,428.55
0.189,-0.0052,0.0346,428.6
0.1889,-0.0052,0.0168,428.65
0.1885,-0.0035,0.0518,428.7
0.1885,0,0.0344,428.75
0.1885,-3.77E-05,0.034,428.8
0.1885,0.0034,0.0692,428.85
0.1889,0.0069,0.0348,428.9
0.1892,0.0069,-1.90E-04,428.95
0.1895,0.0069,0.017,429
0.1899,0.0086,0.0348,429.05
0.1904,0.0103,3.81E-04,429.1
0.1909,0.0086,-0.0344,429.15
0.1913,0.0069,-0.0344,429.2
0.1916,0.0052,-0.0342,429.25
0.1918,0.0035,-0.0516,429.3
0.192,1.92E-05,-0.0518,429.35
0.1918,-0.0017,-0.034,429.4
0.1918,-0.0034,-0.069,429.45
0.1914,-0.0086,-0.0522,429.5
0.1909,-0.0086,1.90E-04,429.55
0.1906,-0.0086,-0.0174,429.6
0.1901,-0.0103,-3.80E-04,429.65
0.1895,-0.0086,0.0344,429.7
0.1892,-0.0069,0.0344,429.75
0.1889,-0.0052,0.0346,429.8
0.1887,-0.0034,0.017,429.85
0.1885,-0.0035,0.034,429.9
0.1883,-3.77E-05,0.069,429.95
0.1885,0.0034,0.0518,430
0.1887,0.0051,0.0346,430.05
0.189,0.0069,0.0172,430.1
0.1894,0.0069,0.0172,430.15
0.1897,0.0086,0.0176,430.2
0.1902,0.0086,-0.0172,430.25
0.1906,0.0069,-0.0172,430.3
0.1909,0.0069,-0.017,430.35
0.1913,0.0052,-0.0344,430.4
0.1914,0.0035,-0.0342,430.45
0.1916,0.0018,-0.0514,430.5
0.1916,-0.0017,-0.069,430.55
0.1914,-0.0051,-0.052,430.6
0.1911,-0.0069,-0.0174,430.65
0.1908,-0.0069,5.55E-15,430.7
0.1904,-0.0069,-3.36E-14,430.75
0.1901,-0.0069,-1.89E-04,430.8
0.1897,-0.0069,0.017,430.85
0.1894,-0.0052,0.0344,430.9
0.1892,-0.0035,0.0344,430.95
0.189,-0.0017,0.0344,431
0.189,-1.89E-05,0.0344,431.05
0.189,0.0017,0.0346,431.1
0.1892,0.0034,0.0172,431.15
0.1894,0.0034,0.0172,431.2
0.1895,0.0052,0.0174,431.25
0.1899,0.0052,-1.90E-04,431.3
0.1901,0.0051,0.0174,431.35
0.1904,0.0069,5.72E-04,431.4
0.1907,0.0052,-0.0516,431.45
0.1909,0.0017,-0.052,431.5
0.1909,0,-0.0172,431.55
0.1909,1.91E-05,-0.017,431.6
0.1909,-0.0017,-0.0344,431.65
0.1907,-0.0034,-0.0344,431.7
0.1906,-0.0051,-0.0348,431.75
0.1902,-0.0069,-1.91E-04,431.8
0.1899,-0.0052,0.0174,431.85
0.1897,-0.0052,-1.89E-04,431.9
0.1894,-0.0052,0.017,431.95
0.1892,-0.0035,0.0342,432
0.189,-0.0018,0.0518,432.05
0.189,0.0017,0.0348,432.1
0.1892,0.0017,-3.79E-04,432.15
0.1892,0.0017,0.0342,432.2
0.1894,0.0051,0.052,432.25
0.1897,0.0069,0.0174,432.3
0.1901,0.0069,-2.78E-15,432.35
0.1904,0.0069,1.91E-04,432.4
0.1907,0.0069,-0.017,432.45
0.1911,0.0052,-0.0346,432.5
0.1913,0.0034,-0.017,432.55
0.1914,0.0035,-0.034,432.6
0.1916,3.83E-05,-0.0692,432.65
0.1914,-0.0034,-0.0344,432.7
0.1913,-0.0034,-0.0342,432.75
0.1911,-0.0069,-0.052,432.8
0.1906,-0.0086,-0.0174,432.85
0.1902,-0.0086,-1.89E-04,432.9
0.1897,-0.0086,0.0172,432.95
0.1894,-0.0069,0.0172,433
0.189,-0.0069,0.0168,433.05
0.1887,-0.0052,0.0516,433.1
0.1885,-0.0017,0.0518,433.15
0.1885,-1.89E-05,0.0344,433.2
0.1885,0.0017,0.0344,433.25
0.1887,0.0034,0.0344,433.3
0.1889,0.0051,0.0344,433.35
0.1892,0.0069,0.0344,433.4
0.1895,0.0086,0.0348,433.45
0.1901,0.0103,1.89E-04,433.5
0.1906,0.0086,-0.0174,433.55
0.1909,0.0086,3.84E-04,433.6
0.1914,0.0086,-0.034,433.65
0.1918,0.0052,-0.0688,433.7
0.192,0.0018,-0.069,433.75
0.192,-0.0017,-0.0518,433.8
0.1918,-0.0034,-0.0344,433.85
0.1916,-0.0051,-0.0346,433.9
0.1913,-0.0069,-0.0172,433.95
0.1909,-0.0069,-0.017,434
0.1906,-0.0086,-0.0348,434.05
0.1901,-0.0103,-3.80E-04,434.1
0.1895,-0.0086,0.0344,434.15
0.1892,-0.0069,0.0344,434.2
0.1889,-0.0052,0.0344,434.25
0.1887,-0.0035,0.0344,434.3
0.1885,-0.0017,0.0344,434.35
0.1885,-1.89E-05,0.0342,434.4
0.1885,0.0017,0.0516,434.45
0.1887,0.0051,0.052,434.5
0.189,0.0069,0.0172,434.55
0.1894,0.0069,0.0172,434.6
0.1897,0.0086,0.0176,434.65
0.1902,0.0086,-0.0172,434.7
0.1906,0.0069,-0.0172,434.75
0.1909,0.0069,-0.0168,434.8
0.1913,0.0052,-0.0516,434.85
0.1914,0.0017,-0.0518,434.9
0.1914,1.91E-05,-0.0342,434.95
0.1914,-0.0017,-0.0516,435
0.1913,-0.0051,-0.052,435.05
0.1909,-0.0069,-0.0176,435.1
0.1906,-0.0069,0.0172,435.15
0.1902,-0.0052,0.0176,435.2
0.1901,-0.0051,-0.0174,435.25
0.1897,-0.0069,-5.69E-04,435.3
0.1894,-0.0052,0.0518,435.35
0.1892,-0.0017,0.0346,435.4
0.1892,-0.0017,0.0168,435.45
0.189,-3.78E-05,0.0518,435.5
0.1892,0.0034,0.0348,435.55
0.1894,0.0034,-1.90E-04,435.6
0.1895,0.0034,0.017,435.65
0.1897,0.0051,0.0348,435.7
0.1901,0.0069,3.80E-04,435.75
0.1904,0.0052,-0.0346,435.8
0.1906,0.0034,-0.0172,435.85
0.1907,0.0035,-0.017,435.9
0.1909,0.0017,-0.0346,435.95
0.1909,0,-0.017,436
0.1909,3.82E-05,-0.0342,436.05
0.1909,-0.0034,-0.052,436.1
0.1906,-0.0052,-0.0174,436.15
0.1904,-0.0052,5.55E-15,436.2
0.1901,-0.0052,-3.21E-14,436.25
0.1899,-0.0052,-1.89E-04,436.3
0.1895,-0.0052,0.0172,436.35
0.1894,-0.0034,0.0172,436.4
0.1892,-0.0035,0.0168,436.45
0.189,-0.0018,0.0516,436.5
0.189,0.0017,0.052,436.55
0.1892,0.0034,0.0172,436.6
0.1894,0.0034,0.017,436.65
0.1895,0.0051,0.0346,436.7
0.1899,0.0069,0.0174,436.75
0.1902,0.0069,3.63E-14,436.8
0.1906,0.0069,1.91E-04,436.85
0.1909,0.0069,-0.017,436.9
0.1913,0.0052,-0.0344,436.95
0.1914,0.0035,-0.0342,437
0.1916,0.0018,-0.0516,437.05
0.1916,-0.0017,-0.0518,437.1
0.1914,-0.0034,-0.0344,437.15
0.1913,-0.0051,-0.0344,437.2
0.1909,-0.0069,-0.0346,437.25
0.1906,-0.0086,-0.0174,437.3
0.1901,-0.0086,0,437.35
0.1897,-0.0086,-3.78E-04,437.4
0.1892,-0.0086,0.0342,437.45
0.1889,-0.0052,0.052,437.5
0.1887,-0.0034,0.017,437.55
0.1885,-0.0035,0.034,437.6
0.1883,-3.77E-05,0.0692,437.65
0.1885,0.0034,0.0346,437.7
0.1887,0.0034,0.0168,437.75
0.1889,0.0051,0.0518,437.8
0.1892,0.0086,0.0348,437.85
0.1897,0.0086,0,437.9
0.1901,0.0086,5.17E-14,437.95
0.1906,0.0086,1.91E-04,438
0.1909,0.0086,-0.0168,438.05
0.1914,0.0069,-0.0516,438.1
0.1916,0.0035,-0.0518,438.15
0.1918,0.0017,-0.0342,438.2
0.1918,3.84E-05,-0.0514,438.25
0.1918,-0.0034,-0.0692,438.3
0.1914,-0.0069,-0.0346,438.35
0.1911,-0.0069,-0.0172,438.4
0.1908,-0.0086,-0.0174,438.45
0.1902,-0.0086,4.61E-14,438.5
0.1899,-0.0086,-3.78E-04,438.55
0.1894,-0.0086,0.0344,438.6
0.189,-0.0052,0.0346,438.65
0.1889,-0.0052,0.0168,438.7
0.1885,-0.0035,0.0516,438.75
0.1885,-1.89E-05,0.0518,438.8
0.1885,0.0017,0.0346,438.85
0.1887,0.0034,0.0172,438.9
0.1889,0.0034,0.0168,438.95
0.189,0.0051,0.0518,439
0.1894,0.0086,0.035,439.05
0.1899,0.0086,-0.0172,439.1
0.1902,0.0069,-0.0172,439.15
0.1906,0.0069,-0.017,439.2
0.1909,0.0052,-0.0344,439.25
0.1911,0.0035,-0.0344,439.3
0.1913,0.0017,-0.0344,439.35
0.1913,1.91E-05,-0.0342,439.4
0.1913,-0.0017,-0.0516,439.45
0.1911,-0.0051,-0.052,439.5
0.1908,-0.0069,-0.0176,439.55
0.1904,-0.0069,0.0172,439.6
0.1901,-0.0052,0.0174,439.65
0.1899,-0.0052,-1.89E-04,439.7
0.1895,-0.0052,0.017,439.75
0.1894,-0.0035,0.0344,439.8
0.1892,-0.0017,0.0346,439.85
0.1892,0,0.0172,439.9
0.1892,-1.89E-05,0.0168,439.95
0.1892,0.0017,0.0518,440
0.1894,0.0052,0.0348,440.05
0.1897,0.0052,-2.66E-14,440.1
0.1899,0.0052,1.90E-04,440.15
0.1902,0.0052,-0.0172,440.2
0.1904,0.0034,-0.0174,440.25
0.1906,0.0034,1.91E-04,440.3
0.1907,0.0035,-0.017,440.35
0.1909,0.0017,-0.0344,440.4
0.1909,1.91E-05,-0.0342,440.45
0.1909,-0.0017,-0.0518,440.5
0.1908,-0.0052,-0.0348,440.55
0.1904,-0.0052,1.90E-04,440.6
0.1902,-0.0051,-0.0174,440.65
0.1899,-0.0069,-3.80E-04,440.7
0.1895,-0.0052,0.0346,440.75
0.1894,-0.0034,0.0172,440.8
0.1892,-0.0035,0.017,440.85
0.189,-0.0017,0.0346,440.9
0.189,0,0.017,440.95
0.189,-3.78E-05,0.0342,441
0.189,0.0034,0.052,441.05
0.1894,0.0052,0.0172,441.1
0.1895,0.0051,0.0172,441.15
0.1899,0.0069,0.0174,441.2
0.1902,0.0069,-4.19E-14,441.25
0.1906,0.0069,1.91E-04,441.3
0.1909,0.0069,-0.017,441.35
0.1913,0.0052,-0.0342,441.4
0.1914,0.0035,-0.0516,441.45
0.1916,1.91E-05,-0.0518,441.5
0.1914,-0.0017,-0.0342,441.55
0.1914,-0.0034,-0.0518,441.6
0.1911,-0.0069,-0.0348,441.65
0.1908,-0.0069,1.90E-04,441.7
0.1904,-0.0069,-0.0172,441.75
0.1901,-0.0086,-0.0176,441.8
0.1895,-0.0086,0.0172,441.85
0.1892,-0.0069,0.0172,441.9
0.1889,-0.0069,0.0168,441.95
0.1885,-0.0052,0.0514,442
0.1883,-0.0018,0.069,442.05
0.1883,0.0017,0.052,442.1
0.1885,0.0034,0.0172,442.15
0.1887,0.0034,0.0168,442.2
0.1889,0.0051,0.0518,442.25
0.1892,0.0086,0.0348,442.3
0.1897,0.0086,0,442.35
0.1901,0.0086,1.91E-04,442.4
0.1906,0.0086,-0.0172,442.45
0.1909,0.0069,-0.0172,442.5
0.1913,0.0069,-0.0168,442.55
0.1916,0.0052,-0.0514,442.6
0.1918,0.0018,-0.069,442.65
0.1918,-0.0017,-0.0518,442.7
0.1916,-0.0034,-0.0344,442.75
0.1914,-0.0051,-0.0344,442.8
0.1911,-0.0069,-0.0346,442.85
0.1908,-0.0086,-0.0176,442.9
0.1902,-0.0086,0.0172,442.95
0.1899,-0.0069,0.0174,443
0.1895,-0.0069,-1.89E-04,443.05
0.1892,-0.0069,0.017,443.1
0.1889,-0.0052,0.0344,443.15
0.1887,-0.0035,0.0342,443.2
0.1885,-0.0018,0.0514,443.25
0.1885,0.0017,0.0692,443.3
0.1887,0.0052,0.0348,443.35
0.189,0.0052,-1.90E-04,443.4
0.1892,0.0051,0.0172,443.45
0.1895,0.0069,0.0174,443.5
0.1899,0.0069,-3.91E-14,443.55
0.1902,0.0069,1.91E-04,443.6
0.1906,0.0069,-0.0168,443.65
0.1909,0.0052,-0.0516,443.7
0.1911,0.0017,-0.052,443.75
0.1911,0,-0.0172,443.8
0.1911,1.91E-05,-0.0168,443.85
0.1911,-0.0017,-0.0516,443.9
0.1909,-0.0051,-0.0522,443.95
0.1906,-0.0069,-1.91E-04,444
0.1902,-0.0052,0.0174,444.05
0.1901,-0.0052,-2.78E-15,444.1
0.1897,-0.0052,-1.89E-04,444.15
0.1895,-0.0052,0.0168,444.2
0.1892,-0.0035,0.0518,444.25
0.1892,0,0.0346,444.3
0.1892,-1.89E-05,0.017,444.35
0.1892,0.0017,0.0346,444.4
0.1894,0.0034,0.0172,444.45
0.1895,0.0034,0.017,444.5
0.1897,0.0051,0.0348,444.55
0.1901,0.0069,3.80E-04,444.6
0.1904,0.0052,-0.0346,444.65
0.1906,0.0034,-0.0172,444.7
0.1907,0.0035,-0.017,444.75
0.1909,0.0017,-0.0344,444.8
0.1909,1.91E-05,-0.0344,444.85
0.1909,-0.0017,-0.0346,444.9
0.1907,-0.0034,-0.0172,444.95
0.1906,-0.0034,-0.017,445
0.1904,-0.0051,-0.0348,445.05
0.1901,-0.0069,-1.91E-04,445.1
0.1897,-0.0052,0.0174,445.15
0.1895,-0.0052,-3.78E-04,445.2
0.1892,-0.0052,0.0344,445.25
0.189,-0.0017,0.0346,445.3
0.189,-0.0017,0.0168,445.35
0.1889,-3.78E-05,0.0518,445.4
0.189,0.0034,0.0346,445.45
0.1892,0.0034,0.017,445.5
0.1894,0.0051,0.0346,445.55
0.1897,0.0069,0.0174,445.6
0.1901,0.0069,-4.19E-14,445.65
0.1904,0.0069,2.78E-15,445.7
0.1907,0.0069,1.91E-04,445.75
0.1911,0.0069,-0.0168,445.8
0.1914,0.0052,-0.0516,445.85
0.1916,0.0017,-0.0518,445.9
0.1916,1.92E-05,-0.0344,445.95
0.1916,-0.0017,-0.0342,446
0.1914,-0.0034,-0.0516,446.05
0.1913,-0.0069,-0.0522,446.1
0.1908,-0.0086,-1.37E-06,446.15
0.1904,-0.0069,1.91E-04,446.2
0.1901,-0.0086,-0.0176,446.25
0.1895,-0.0086,0.0172,446.3
0.1892,-0.0069,0.0172,446.35
0.1889,-0.0069,0.0168,446.4
0.1885,-0.0052,0.0514,446.45
0.1883,-0.0018,0.069,446.5
0.1883,0.0017,0.0518,446.55
0.1885,0.0034,0.0344,446.6
0.1887,0.0051,0.0346,446.65
0.189,0.0069,0.0172,446.7
0.1894,0.0069,0.017,446.75
0.1897,0.0086,0.0348,446.8
0.1902,0.0103,3.80E-04,446.85
0.1907,0.0086,-0.0344,446.9
0.1911,0.0069,-0.0344,446.95
0.1914,0.0052,-0.0344,447
0.1916,0.0035,-0.0342,447.05
0.1918,0.0018,-0.0516,447.1
0.1918,-0.0017,-0.0518,447.15
0.1916,-0.0034,-0.0344,447.2
0.1914,-0.0051,-0.0344,447.25
0.1911,-0.0069,-0.0346,447.3
0.1908,-0.0086,-0.0176,447.35
0.1902,-0.0086,0.0172,447.4
0.1899,-0.0069,0.0172,447.45
0.1895,-0.0069,0.017,447.5
0.1892,-0.0052,0.0344,447.55
0.189,-0.0035,0.0344,447.6
0.1889,-0.0017,0.0344,447.65
0.1889,-1.89E-05,0.0344,447.7
0.1889,0.0017,0.0344,447.75
0.189,0.0034,0.0344,447.8
0.1892,0.0051,0.0346,447.85
0.1895,0.0069,0.0176,447.9
0.1899,0.0069,-0.0172,447.95
0.1902,0.0052,-0.0176,448
0.1904,0.0051,0.0176,448.05
0.1907,0.0069,-0.0168,448.1
0.1911,0.0035,-0.0518,448.15
0.1911,0.0017,-0.0344,448.2
0.1913,1.91E-05,-0.0344,448.25
0.1911,-0.0017,-0.0344,448.3
0.1911,-0.0034,-0.0346,448.35
0.1907,-0.0052,-0.0172,448.4
0.1906,-0.0051,-0.0174,448.45
0.1902,-0.0069,-3.80E-04,448.5
0.1899,-0.0052,0.0346,448.55
0.1897,-0.0034,0.0174,448.6
0.1895,-0.0034,-3.78E-04,448.65
0.1894,-0.0035,0.0342,448.7
0.1892,-1.89E-05,0.052,448.75
0.1894,0.0017,0.0172,448.8
0.1894,0.0017,0.0172,448.85
0.1895,0.0034,0.0172,448.9
0.1897,0.0034,0.0172,448.95
0.1899,0.0052,0.0174,449
0.1902,0.0052,-3.21E-14,449.05
0.1904,0.0052,3.82E-04,449.1
0.1907,0.0052,-0.0344,449.15
0.1909,0.0017,-0.0346,449.2
0.1909,0.0017,-0.0168,449.25
0.1911,3.82E-05,-0.0518,449.3
0.1909,-0.0034,-0.0346,449.35
0.1907,-0.0034,-0.0172,449.4
0.1906,-0.0052,-0.0174,449.45
0.1902,-0.0052,1.90E-04,449.5
0.1901,-0.0051,-0.0174,449.55
0.1897,-0.0069,-3.79E-04,449.6
0.1894,-0.0052,0.0344,449.65
0.1892,-0.0035,0.0344,449.7
0.189,-0.0017,0.0346,449.75
0.189,0,0.0172,449.8
0.189,-1.89E-05,0.017,449.85
0.189,0.0017,0.0344,449.9
0.1892,0.0034,0.0344,449.95
0.1894,0.0051,0.0344,450
0.1897,0.0069,0.0346,450.05
0.1901,0.0086,0.0176,450.1
0.1906,0.0086,-0.017,450.15
0.1909,0.0069,-0.0344,450.2
0.1913,0.0052,-0.0346,450.25
0.1914,0.0034,-0.017,450.3
0.1916,0.0035,-0.034,450.35
0.1918,3.83E-05,-0.0692,450.4
0.1916,-0.0034,-0.0344,450.45
0.1914,-0.0034,-0.0342,450.5
0.1913,-0.0069,-0.0522,450.55
0.1908,-0.0086,-1.37E-06,450.6
0.1904,-0.0069,1.91E-04,450.65
0.1901,-0.0086,-0.0176,450.7
0.1895,-0.0086,0.017,450.75
0.1892,-0.0069,0.0344,450.8
0.1889,-0.0052,0.0344,450.85
0.1887,-0.0035,0.0342,450.9
0.1885,-0.0018,0.0516,450.95
0.1885,0.0017,0.0518,451
0.1887,0.0034,0.0344,451.05
0.1889,0.0051,0.0346,451.1
0.1892,0.0069,0.0172,451.15
0.1895,0.0069,0.0172,451.2
0.1899,0.0086,0.0174,451.25
0.1904,0.0086,1.91E-04,451.3
0.1907,0.0086,-0.017,451.35
0.1913,0.0069,-0.0344,451.4
0.1914,0.0052,-0.0342,451.45
0.1918,0.0035,-0.0516,451.5
0.1918,1.92E-05,-0.0518,451.55
0.1918,-0.0017,-0.0342,451.6
0.1916,-0.0034,-0.0516,451.65
0.1914,-0.0069,-0.0522,451.7
0.1909,-0.0086,-1.92E-04,451.75
0.1906,-0.0069,0.0174,451.8
0.1902,-0.0069,-5.55E-15,451.85
0.1899,-0.0069,-1.89E-04,451.9
0.1895,-0.0069,0.017,451.95
0.1892,-0.0052,0.0344,452
0.189,-0.0035,0.0342,452.05
0.1889,-0.0018,0.0516,452.1
0.1889,0.0017,0.052,452.15
0.189,0.0034,0.0172,452.2
0.1892,0.0034,0.0172,452.25
0.1894,0.0052,0.0174,452.3
0.1897,0.0052,-1.90E-04,452.35
0.1899,0.0051,0.0174,452.4
0.1902,0.0069,3.80E-04,452.45
0.1906,0.0052,-0.0346,452.5
0.1907,0.0034,-0.0172,452.55
0.1909,0.0035,-0.017,452.6
0.1911,0.0017,-0.0344,452.65
0.1911,1.91E-05,-0.0344,452.7
0.1911,-0.0017,-0.0344,452.75
0.1909,-0.0034,-0.0344,452.8
0.1908,-0.0051,-0.0348,452.85
0.1904,-0.0069,-3.81E-04,452.9
0.1901,-0.0052,0.0346,452.95
0.1899,-0.0034,0.0174,453
0.1897,-0.0034,-1.89E-04,453.05
0.1895,-0.0035,0.017,453.1
0.1894,-0.0017,0.0344,453.15
0.1894,-1.89E-05,0.0344,453.2
0.1894,0.0017,0.0346,453.25
0.1895,0.0034,0.0174,453.3
0.1897,0.0034,-1.90E-04,453.35
0.1899,0.0034,0.0172,453.4
0.1901,0.0052,0.0174,453.45
0.1904,0.0052,3.77E-14,453.5
0.1906,0.0052,3.82E-04,453.55
0.1909,0.0052,-0.0342,453.6
0.1911,0.0017,-0.0518,453.65
0.1911,1.91E-05,-0.0344,453.7
0.1911,-0.0017,-0.0346,453.75
0.1909,-0.0034,-0.0172,453.8
0.1907,-0.0034,-0.017,453.85
0.1906,-0.0051,-0.0346,453.9
0.1902,-0.0069,-0.0176,453.95
0.1899,-0.0069,0.017,454
0.1895,-0.0052,0.0346,454.05
0.1894,-0.0034,0.0174,454.1
0.1892,-0.0034,-1.89E-04,454.15
0.189,-0.0035,0.0168,454.2
0.1889,-0.0018,0.0516,454.25
0.1889,0.0017,0.0518,454.3
0.189,0.0034,0.0344,454.35
0.1892,0.0051,0.0346,454.4
0.1895,0.0069,0.0174,454.45
0.1899,0.0069,-3.91E-14,454.5
0.1902,0.0069,-4.19E-14,454.55
0.1906,0.0069,0,454.6
0.1909,0.0069,1.92E-04,454.65
0.1913,0.0069,-0.0168,454.7
0.1916,0.0052,-0.0514,454.75
0.1918,0.0018,-0.069,454.8
0.1918,-0.0017,-0.0518,454.85
0.1916,-0.0034,-0.0344,454.9
0.1914,-0.0051,-0.0346,454.95
0.1911,-0.0069,-0.0172,455
0.1908,-0.0069,-0.017,455.05
0.1904,-0.0086,-0.0348,455.1
0.1899,-0.0103,-5.69E-04,455.15
0.1894,-0.0086,0.0518,455.2
0.189,-0.0052,0.0346,455.25
0.1889,-0.0052,0.0168,455.3
0.1885,-0.0035,0.0518,455.35
0.1885,0,0.0344,455.4
0.1885,-3.77E-05,0.034,455.45
0.1885,0.0034,0.0692,455.5
0.1889,0.0069,0.0348,455.55
0.1892,0.0069,-1.90E-04,455.6
0.1895,0.0069,0.0172,455.65
0.1899,0.0086,0.0176,455.7
0.1904,0.0086,-0.0172,455.75
0.1907,0.0069,-0.0172,455.8
0.1911,0.0069,-0.0168,455.85
0.1914,0.0052,-0.0516,455.9
0.1916,0.0017,-0.0518,455.95
0.1916,1.92E-05,-0.0344,456
0.1916,-0.0017,-0.0342,456.05
0.1914,-0.0034,-0.0516,456.1
0.1913,-0.0069,-0.0522,456.15
0.1908,-0.0086,-1.91E-04,456.2
0.1904,-0.0069,0.0174,456.25
0.1901,-0.0069,-1.89E-04,456.3
0.1897,-0.0069,0.017,456.35
0.1894,-0.0052,0.0346,456.4
0.1892,-0.0034,0.0172,456.45
0.189,-0.0035,0.0168,456.5
0.1889,-0.0018,0.0516,456.55
0.1889,0.0017,0.052,456.6
0.189,0.0034,0.0172,456.65
0.1892,0.0034,0.017,456.7
0.1894,0.0051,0.0348,456.75
0.1897,0.0069,1.89E-04,456.8
0.1901,0.0052,-0.0174,456.85
0.1902,0.0052,1.91E-04,456.9
0.1906,0.0052,-0.017,456.95
0.1907,0.0035,-0.0344,457
0.1909,0.0017,-0.0346,457.05
0.1909,0,-0.017,457.1
0.1909,3.82E-05,-0.0342,457.15
0.1909,-0.0034,-0.0522,457.2
0.1906,-0.0052,-6.84E-07,457.25
0.1904,-0.0034,1.91E-04,457.3
0.1902,-0.0052,-0.0176,457.35
0.1899,-0.0052,0.0172,457.4
0.1897,-0.0034,0.0172,457.45
0.1895,-0.0035,0.017,457.5
0.1894,-0.0017,0.0346,457.55
0.1894,0,0.0172,457.6
0.1894,-1.89E-05,0.0168,457.65
0.1894,0.0017,0.0518,457.7
0.1895,0.0052,0.035,457.75
0.1899,0.0052,-0.0174,457.8
0.1901,0.0034,-1.90E-04,457.85
0.1902,0.0052,0.0174,457.9
0.1906,0.0052,1.91E-04,457.95
0.1907,0.0052,-0.0168,458
0.1911,0.0035,-0.0518,458.05
0.1911,0,-0.0346,458.1
0.1911,1.91E-05,-0.017,458.15
0.1911,-0.0017,-0.0344,458.2
0.1909,-0.0034,-0.0344,458.25
0.1908,-0.0051,-0.0346,458.3
0.1904,-0.0069,-0.0176,458.35
0.1901,-0.0069,0.0172,458.4
0.1897,-0.0052,0.0174,458.45
0.1895,-0.0052,-1.89E-04,458.5
0.1892,-0.0052,0.017,458.55
0.189,-0.0035,0.0344,458.6
0.1889,-0.0017,0.0344,458.65
0.1889,-1.89E-05,0.0344,458.7
0.1889,0.0017,0.0344,458.75
0.189,0.0034,0.0344,458.8
0.1892,0.0051,0.0346,458.85
0.1895,0.0069,0.0174,458.9
0.1899,0.0069,-1.91E-04,458.95
0.1902,0.0069,0.0172,459
0.1906,0.0086,0.0178,459.05
0.1911,0.0086,-0.0342,459.1
0.1914,0.0052,-0.0518,459.15
0.1916,0.0035,-0.0342,459.2
0.1918,0.0018,-0.0516,459.25
0.1918,-0.0017,-0.0518,459.3
0.1916,-0.0034,-0.0342,459.35
0.1914,-0.0051,-0.0518,459.4
0.1911,-0.0086,-0.0348,459.45
0.1906,-0.0086,5.17E-14,459.5
0.1902,-0.0086,-1.89E-04,459.55
0.1897,-0.0086,0.017,459.6
0.1894,-0.0069,0.0346,459.65
0.189,-0.0052,0.0172,459.7
0.1889,-0.0052,0.0168,459.75
0.1885,-0.0035,0.0516,459.8
0.1885,-1.89E-05,0.0518,459.85
0.1885,0.0017,0.0344,459.9
0.1887,0.0034,0.0344,459.95
0.1889,0.0051,0.0344,460
0.1892,0.0069,0.0346,460.05
0.1895,0.0086,0.0174,460.1
0.1901,0.0086,0,460.15
0.1904,0.0086,3.83E-04,460.2
0.1909,0.0086,-0.0342,460.25
0.1913,0.0052,-0.0518,460.3
0.1914,0.0035,-0.0344,460.35
0.1916,0.0017,-0.0342,460.4
0.1916,3.83E-05,-0.0516,460.45
0.1916,-0.0034,-0.052,460.5
0.1913,-0.0052,-0.0172,460.55
0.1911,-0.0051,-0.0172,460.6
0.1908,-0.0069,-0.0174,460.65
0.1904,-0.0069,-3.36E-14,460.7
0.1901,-0.0069,-1.89E-04,460.75
0.1897,-0.0069,0.017,460.8
0.1894,-0.0052,0.0344,460.85
0.1892,-0.0035,0.0344,460.9
0.189,-0.0017,0.0344,460.95
0.189,-1.89E-05,0.0344,461
0.189,0.0017,0.0346,461.05
0.1892,0.0034,0.0174,461.1
0.1894,0.0034,-1.90E-04,461.15
0.1895,0.0034,0.017,461.2
0.1897,0.0051,0.0348,461.25
0.1901,0.0069,3.80E-04,461.3
0.1904,0.0052,-0.0346,461.35
0.1906,0.0034,-0.0172,461.4
0.1907,0.0035,-0.017,461.45
0.1909,0.0017,-0.0344,461.5
0.1909,1.91E-05,-0.0344,461.55
0.1909,-0.0017,-0.0346,461.6
0.1907,-0.0034,-0.0172,461.65
0.1906,-0.0034,-0.0172,461.7
0.1904,-0.0052,-0.0174,461.75
0.1901,-0.0052,-1.90E-04,461.8
